RUN,MoveNo,SpriteName,MovedToPile,ReactionTime
Control Run,8,cards_37,2,0.3322864
Control Run,9,cards_3,1,0.4337101
Control Run,10,cards_34,4,0.2876644
Control Run,11,cards_27,3,0.4691491
Control Run,12,cards_14,3,0.1424718
Control Run,13,cards_25,1,0.2983465
Control Run,14,cards_21,2,0.2654982
Control Run,15,cards_43,4,0.3140416
Control Run,16,cards_42,3,0.350533
Control Run,17,cards_18,1,0.2647099
Control Run,18,cards_5,3,0.497159
Control Run,19,cards_8,4,0.3311744
Control Run,20,cards_29,1,0.3154926
Control Run,21,cards_41,2,0.5162802
Control Run,22,cards_49,3,0.3144493
Control Run,23,cards_15,1,0.2982464
Control Run,24,cards_13,4,0.3353863
Control Run,25,cards_17,3,0.2981997
Control Run,26,cards_38,1,0.248498
Control Run,27,cards_12,2,0.3479004
Control Run,28,cards_31,3,0.3055048
Control Run,29,cards_7,4,0.3508062
Control Run,30,cards_46,1,0.2565708
Control Run,31,cards_6,3,0.2486372
Control Run,32,cards_47,4,0.2980633
Control Run,33,cards_28,2,0.2981997
Control Run,34,cards_44,1,0.2312126
Control Run,35,cards_40,3,0.3003416
Control Run,36,cards_30,3,0.2814178
Control Run,37,cards_16,3,0.3201103
Control Run,38,cards_35,3,0.7840109
Control Run,39,cards_2,3,0.3479004
Control Run,40,cards_0,1,0.1870012
Control Run,41,cards_26,4,0.2837086
Control Run,42,cards_10,2,0.2350903
Control Run,43,cards_32,3,0.3340654
Control Run,44,cards_22,1,0.2856169
Control Run,45,cards_36,2,0.5329905
Control Run,46,cards_4,3,0.3225517
Control Run,47,cards_9,4,0.29846
Control Run,48,cards_20,1,0.2226887
Control Run,49,cards_1,2,0.2688065
Control Run,50,cards_11,3,0.288084
Control Run,51,cards_48,4,0.2157688
Control Run,52,cards_50,1,0.3806362
Final Run,1,cards_14,1,0
Final Run,2,cards_27,4,0.3356147
Final Run,3,cards_11,2,0.2699778
Final Run,4,cards_24,3,0.2253215
Final Run,5,cards_46,1,0.2043068
Final Run,6,cards_25,4,0.2055717
Final Run,7,cards_31,3,0.1715312
Final Run,8,cards_12,2,0
Final Run,9,cards_6,1,0.2452655
Final Run,10,cards_17,4,0.0896244
Final Run,11,cards_4,3,0.1658053
Final Run,12,cards_49,1,0.2979655
Final Run,13,cards_42,4,0.01741838
Final Run,14,cards_14,1,0.2330847
Final Run,15,cards_37,4,0.265336
Final Run,16,cards_40,2,0.1493039
Final Run,17,cards_33,4,0.165195
Final Run,18,cards_21,3,0.06675911
Final Run,19,cards_29,4,0.1486654
Final Run,20,cards_18,2,0.09947157
Final Run,21,cards_13,4,0.09965563
Final Run,22,cards_8,4,0
Final Run,23,cards_39,1,0.1542006
Final Run,24,cards_22,1,0.085742
Final Run,25,cards_16,2,0.1042857
Final Run,26,cards_43,1,0
Final Run,27,cards_0,4,0.1854353
Final Run,28,cards_26,3,0.1585822
Final Run,29,cards_44,2,0.1038446
Final Run,30,cards_36,4,0.01656723
Final Run,31,cards_35,1,0.1657896
Final Run,32,cards_10,4,0.1491022
Final Run,33,cards_50,1,0.09939957
Final Run,34,cards_19,4,0.07470608
Final Run,35,cards_15,3,0.06582165
Final Run,36,cards_3,4,0.1825218
Final Run,37,cards_47,1,0.1819448
Final Run,38,cards_2,4,0.1824169
Final Run,39,cards_41,4,0.198616
Final Run,40,cards_1,1,0.017416
Final Run,41,cards_30,4,0.1814985
Final Run,42,cards_32,4,0.2820244
Final Run,43,cards_5,3,0.2483788
Final Run,1,cards_47,1,0
Final Run,2,cards_28,4,2.471798
Final Run,3,cards_43,2,0.6545882
Final Run,4,cards_27,2,0.298202
Final Run,5,cards_41,3,0.3152089
Final Run,6,cards_13,1,0.0994072
Final Run,7,cards_24,4,0.2376733
Final Run,8,cards_39,3,0.2615795
Final Run,9,cards_10,1,0.2298985
Final Run,10,cards_20,3,0.2493401
Final Run,11,cards_15,1,0.2476592
Final Run,12,cards_36,3,0.01709414
Final Run,13,cards_31,3,0.1659756
Final Run,14,cards_11,1,0.330502
Final Run,15,cards_25,1,0.0369668
Final Run,16,cards_23,1,0.1010427
Final Run,17,cards_40,1,0.1822333
Final Run,18,cards_14,1,0.1325331
Final Run,19,cards_22,1,0.0424571
Final Run,20,cards_1,1,0.1494122
Final Run,21,cards_0,1,0.2153525
Final Run,22,cards_2,1,0.1495638
Final Run,23,cards_47,1,0.1649904
Final Run,24,cards_8,1,0.1822329
Final Run,25,cards_26,1,0.1822329
Final Run,26,cards_38,1,0.1656675
Final Run,27,cards_29,1,0.1656666
Final Run,28,cards_44,1,0.1657648
Final Run,29,cards_35,1,0.1655684
Final Run,30,cards_4,1,0.2523279
Final Run,31,cards_3,1,0.1822929
Final Run,32,cards_30,3,0.2088356
Final Run,33,cards_42,3,0.4023218
Final Run,34,cards_48,3,0.1652107
Final Run,35,cards_5,3,0.1517706
Final Run,36,cards_34,3,0.2153673
Final Run,37,cards_32,3,0.1656723
Final Run,38,cards_19,3,0.1662455
Final Run,39,cards_50,3,0.1650343
Final Run,40,cards_9,3,0.2005196
Final Run,41,cards_37,3,0.248641
Final Run,42,cards_6,4,0.165597
Final Run,43,cards_12,2,0.482357
Final Run,44,cards_17,4,0.2506905
Final Run,45,cards_45,2,0.2976685
Final Run,46,cards_33,1,0.1827049
Final Run,47,cards_21,4,0.08283329
Final Run,48,cards_46,3,0.1491003
Final Run,49,cards_18,4,0.1731501
